/usr/local/lib/python3.10/dist-packages/torch/utils/_pytree.py:185: FutureWarning: optree is installed but the version is too old to support PyTorch Dynamo in C++ pytree. C++ pytree support is disabled. Please consider upgrading optree using `python3 -m pip install --upgrade 'optree>=0.13.0'`.
  warnings.warn(
/usr/lib/python3/dist-packages/requests/__init__.py:87: RequestsDependencyWarning: urllib3 (2.5.0) or chardet (4.0.0) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({}) doesn't match a supported "
wandb: Currently logged in as: bloggerwang1217 (bloggerwang1217-national-taiwan-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run zybglac6
wandb: Tracking run with wandb version 0.23.0
wandb: Run data is saved locally in /home/bloggerwang/robot-vaccum-rl/wandb/run-20251118_083119-zybglac6
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run collision-10-energy-200-epsilon-0.3
wandb: ⭐️ View project at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl
wandb: 🚀 View run at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl/runs/zybglac6
Using device: cuda
[Episode 162] Steps: 500 | Survival: 4/4 | Mean Reward: 165.47 | Collisions: 48 | Kills: 0
[Episode 163] Steps: 500 | Survival: 4/4 | Mean Reward: 165.96 | Collisions: 38 | Kills: 0
[Episode 164] Steps: 500 | Survival: 4/4 | Mean Reward: 167.37 | Collisions: 39 | Kills: 0
[Episode 165] Steps: 296 | Survival: 3/4 | Mean Reward: 89.09 | Collisions: 38 | Kills: 1
[Episode 166] Steps: 500 | Survival: 4/4 | Mean Reward: 153.59 | Collisions: 101 | Kills: 0
[Episode 167] Steps: 255 | Survival: 3/4 | Mean Reward: 82.87 | Collisions: 48 | Kills: 0
[Episode 168] Steps: 500 | Survival: 4/4 | Mean Reward: 164.90 | Collisions: 52 | Kills: 0
[Episode 169] Steps: 500 | Survival: 4/4 | Mean Reward: 168.30 | Collisions: 39 | Kills: 0
[Episode 170] Steps: 500 | Survival: 4/4 | Mean Reward: 162.13 | Collisions: 48 | Kills: 0
[Episode 171] Steps: 445 | Survival: 3/4 | Mean Reward: 146.73 | Collisions: 59 | Kills: 0
[Episode 172] Steps: 216 | Survival: 3/4 | Mean Reward: 70.08 | Collisions: 41 | Kills: 0
[Episode 173] Steps: 500 | Survival: 4/4 | Mean Reward: 164.41 | Collisions: 59 | Kills: 0
[Episode 174] Steps: 171 | Survival: 3/4 | Mean Reward: 54.93 | Collisions: 33 | Kills: 0
[Episode 175] Steps: 500 | Survival: 4/4 | Mean Reward: 161.90 | Collisions: 62 | Kills: 0
[Episode 176] Steps: 146 | Survival: 3/4 | Mean Reward: 45.11 | Collisions: 37 | Kills: 0
[Episode 177] Steps: 500 | Survival: 4/4 | Mean Reward: 166.96 | Collisions: 70 | Kills: 0
[Episode 178] Steps: 120 | Survival: 3/4 | Mean Reward: 38.11 | Collisions: 28 | Kills: 0
[Episode 179] Steps: 500 | Survival: 4/4 | Mean Reward: 169.68 | Collisions: 55 | Kills: 0
[Episode 180] Steps: 294 | Survival: 3/4 | Mean Reward: 88.24 | Collisions: 91 | Kills: 0
[Episode 181] Steps: 500 | Survival: 4/4 | Mean Reward: 163.21 | Collisions: 48 | Kills: 0
[Episode 182] Steps: 500 | Survival: 4/4 | Mean Reward: 169.77 | Collisions: 29 | Kills: 0
[Episode 183] Steps: 500 | Survival: 4/4 | Mean Reward: 160.40 | Collisions: 58 | Kills: 0
[Episode 184] Steps: 500 | Survival: 4/4 | Mean Reward: 166.95 | Collisions: 34 | Kills: 0
[Episode 185] Steps: 211 | Survival: 3/4 | Mean Reward: 65.69 | Collisions: 18 | Kills: 0
[Episode 186] Steps: 500 | Survival: 4/4 | Mean Reward: 165.72 | Collisions: 53 | Kills: 0
[Episode 187] Steps: 81 | Survival: 3/4 | Mean Reward: 20.00 | Collisions: 20 | Kills: 0
