/usr/local/lib/python3.10/dist-packages/torch/utils/_pytree.py:185: FutureWarning: optree is installed but the version is too old to support PyTorch Dynamo in C++ pytree. C++ pytree support is disabled. Please consider upgrading optree using `python3 -m pip install --upgrade 'optree>=0.13.0'`.
  warnings.warn(
/usr/lib/python3/dist-packages/requests/__init__.py:87: RequestsDependencyWarning: urllib3 (2.5.0) or chardet (4.0.0) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({}) doesn't match a supported "
wandb: Currently logged in as: bloggerwang1217 (bloggerwang1217-national-taiwan-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run u4hc04e8
wandb: Tracking run with wandb version 0.23.0
wandb: Run data is saved locally in /home/bloggerwang/robot-vaccum-rl/scripts/wandb/run-20251119_021856-u4hc04e8
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run move-10-collision-50-energy-100-epsilon-decay
wandb: ⭐️ View project at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl
wandb: 🚀 View run at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl/runs/u4hc04e8
Using device: cuda
[Episode 128] Steps: 2 | Survival: 3/4 | Mean Reward: -0.52 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 129] Steps: 2 | Survival: 1/4 | Mean Reward: -0.89 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 130] Steps: 3 | Survival: 3/4 | Mean Reward: -0.21 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 131] Steps: 2 | Survival: 2/4 | Mean Reward: -0.69 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 132] Steps: 2 | Survival: 3/4 | Mean Reward: -0.48 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 133] Steps: 2 | Survival: 3/4 | Mean Reward: -0.12 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 134] Steps: 2 | Survival: 2/4 | Mean Reward: -0.47 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 135] Steps: 2 | Survival: 3/4 | Mean Reward: -0.42 | Collisions: 1 | Kills: 0 | Immediate Kills: 1
[Episode 136] Steps: 2 | Survival: 2/4 | Mean Reward: -0.69 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 137] Steps: 2 | Survival: 3/4 | Mean Reward: -0.29 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 138] Steps: 2 | Survival: 2/4 | Mean Reward: -0.69 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 139] Steps: 2 | Survival: 2/4 | Mean Reward: -0.52 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 140] Steps: 2 | Survival: 3/4 | Mean Reward: -0.52 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 141] Steps: 2 | Survival: 2/4 | Mean Reward: -0.69 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 142] Steps: 2 | Survival: 3/4 | Mean Reward: -0.52 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 143] Steps: 2 | Survival: 1/4 | Mean Reward: -0.89 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 144] Steps: 2 | Survival: 2/4 | Mean Reward: -0.22 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 145] Steps: 2 | Survival: 3/4 | Mean Reward: -0.38 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 146] Steps: 2 | Survival: 2/4 | Mean Reward: -0.43 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 147] Steps: 2 | Survival: 3/4 | Mean Reward: -0.52 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 148] Steps: 3 | Survival: 3/4 | Mean Reward: -0.10 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 149] Steps: 2 | Survival: 2/4 | Mean Reward: -0.52 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 150] Steps: 2 | Survival: 3/4 | Mean Reward: -0.68 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 151] Steps: 2 | Survival: 3/4 | Mean Reward: -0.31 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 152] Steps: 2 | Survival: 2/4 | Mean Reward: -0.53 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 153] Steps: 2 | Survival: 3/4 | Mean Reward: -0.68 | Collisions: 2 | Kills: 0 | Immediate Kills: 0
[Episode 154] Steps: 2 | Survival: 1/4 | Mean Reward: -0.89 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 155] Steps: 2 | Survival: 1/4 | Mean Reward: -0.64 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 156] Steps: 2 | Survival: 3/4 | Mean Reward: -0.52 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 157] Steps: 2 | Survival: 2/4 | Mean Reward: -0.69 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 158] Steps: 2 | Survival: 3/4 | Mean Reward: -0.68 | Collisions: 2 | Kills: 0 | Immediate Kills: 1
[Episode 159] Steps: 2 | Survival: 3/4 | Mean Reward: -0.12 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 160] Steps: 2 | Survival: 2/4 | Mean Reward: -0.50 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 161] Steps: 2 | Survival: 3/4 | Mean Reward: -0.52 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 162] Steps: 2 | Survival: 3/4 | Mean Reward: -0.41 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 163] Steps: 2 | Survival: 2/4 | Mean Reward: -0.53 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 164] Steps: 2 | Survival: 3/4 | Mean Reward: -0.48 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 165] Steps: 2 | Survival: 2/4 | Mean Reward: -0.78 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 166] Steps: 2 | Survival: 3/4 | Mean Reward: -0.43 | Collisions: 2 | Kills: 0 | Immediate Kills: 1
[Episode 167] Steps: 2 | Survival: 3/4 | Mean Reward: -0.58 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 168] Steps: 2 | Survival: 1/4 | Mean Reward: -0.89 | Collisions: 2 | Kills: 0 | Immediate Kills: 0
[Episode 169] Steps: 2 | Survival: 2/4 | Mean Reward: -0.43 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 170] Steps: 2 | Survival: 2/4 | Mean Reward: -0.62 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
[Episode 171] Steps: 2 | Survival: 2/4 | Mean Reward: -0.78 | Collisions: 1 | Kills: 0 | Immediate Kills: 0
[Episode 172] Steps: 2 | Survival: 2/4 | Mean Reward: -0.78 | Collisions: 0 | Kills: 0 | Immediate Kills: 0
